platform,date,author,title,content,rating,likes,comments,shares,url,note_type,topic
TapTap,2026-04-27,不困鸭,朋友局真快乐,"玩法真的好玩，和朋友开黑笑死，节目效果直接拉满。",5,128,24,8,https://example.com/taptap/01,评论,开黑
TapTap,2026-04-28,白鹅队长,新角色有意思,"新角色机制有趣，呆呆鸟局每次都能整活，推荐朋友一起玩。",5,86,13,5,https://example.com/taptap/02,评分,角色
TapTap,2026-04-29,等匹配的人,匹配有些慢,"游戏有趣但是匹配慢，晚上排队等太久，希望优化。",3,42,18,2,https://example.com/taptap/03,评论,匹配
TapTap,2026-04-30,信号断了,服务器卡顿,"不是不好玩，但是太卡了，服务器掉线后完全进不去。",2,215,77,31,https://example.com/taptap/04,评论,版本问题
TapTap,2026-05-01,橘子汽水,欢乐五一局,"地图和角色都不错，假期和室友开黑太上头了。",5,94,11,4,https://example.com/taptap/05,评分,开黑
TapTap,2026-05-02,普通玩家A,更新后闪退,"更新以后连续闪退和黑屏，体验差，赶紧修 bug。",1,172,55,18,https://example.com/taptap/06,评论,闪退
TapTap,2026-05-03,路人鹅,队友挂机,"匹配机制差，排到队友挂机，一局都没体验到玩法。",2,63,25,3,https://example.com/taptap/07,评论,匹配
TapTap,2026-05-04,捉鸭高手,机制很欢乐,"好玩又有趣，朋友局互坑真的笑死，节目效果强。",5,111,19,9,https://example.com/taptap/08,评分,玩法
TapTap,2026-05-05,月下登陆,登录失败,"服务器登录失败三次，网络连接异常，活动都赶不上。",1,190,62,21,https://example.com/taptap/09,评论,服务器
TapTap,2026-05-06,萌新鹅,引导有点弱,"画风不错但新手引导不清楚，角色技能还要慢慢摸索。",3,38,16,1,https://example.com/taptap/10,评论,新手
TapTap,2026-05-07,反作弊观察员,外挂影响体验,"最近疑似外挂和开挂脚本太多，公平对局体验差。",1,248,96,44,https://example.com/taptap/11,评论,外挂
TapTap,2026-05-09,周年派对,活动奖励看不懂,"活动玩法有趣，不过奖励规则不清楚，积分不到账。",3,76,34,8,https://example.com/taptap/12,评论,活动
TapTap,2026-05-11,桌游社长,社团开黑推荐,"宿舍朋友一起开黑太欢乐，鹅和鸭的角色机制神作。",5,154,30,14,https://example.com/taptap/13,评分,推荐
TapTap,2026-05-13,安卓用户,手机发热,"移动端操作有点飘，手机发热耗电，但玩法还是有意思。",3,89,28,6,https://example.com/taptap/14,评论,移动端
TapTap,2026-05-16,夜间排队,没人开局,"深夜匹配慢，排队等太久，经常碰到挂机队友。",2,58,20,2,https://example.com/taptap/15,评论,匹配
TapTap,2026-05-20,猜猜我是谁,名场面制造机,"角色机制太适合整活了，和朋友玩每局都有名场面。",5,166,41,27,https://example.com/taptap/16,评分,整活
TapTap,2026-05-23,补丁测试员,版本仍有异常,"新更新后报错和闪退还在，服务器偶尔掉线，失望。",1,207,82,29,https://example.com/taptap/17,评论,版本问题
